Operational unit,Unit code,Internal cost code,CIPFA expenses type,Transaction date,Transaction number,Net amount,Supplier name,Supplier ID
Didcot Growth Point Team,CA02,Agency staff,Employees,2015-11-09,3036568,"1,595.52",10148,Champion Recruitment
DC - Vale Recharges,DN10,Agency staff,Employees,2015-11-09,3036531,"1,545.75",10148,Champion Recruitment
DC - Vale Recharges,DN10,Agency staff,Employees,2015-11-09,3036563,"1,977.11",10148,Champion Recruitment
Didcot Arts Centre,AR04,Basic Pay Casuals,Employees,2015-11-09,3036529,830.76,10148,Champion Recruitment
Didcot Arts Centre,AR04,Basic Pay Casuals,Employees,2015-11-09,3036542,"1,374.73",10148,Champion Recruitment
District & Parish elections,EL02,Agency staff,Employees,22/07/2015,3035650,634.64,10148,Champion Recruitment
Facilities Admin,FA01,Agency staff,Employees,28/09/2015,3036533,"2,502.97",10148,Champion Recruitment
Facilities Admin,FA01,Agency staff,Employees,28/09/2015,3036564,"1,658.17",10148,Champion Recruitment
Facilities Admin,FA01,Agency staff,Employees,28/09/2015,3036544,"1,431.74",10148,Champion Recruitment
PC & Intelligent Terminals,CE10,Computer Purchase of hardware,Supplies & Services,22/07/2015,623867,"1,455.00",10162,Civica UK Ltd
Computer Administration,CE99,Consultation costs,Supplies & Services,14/08/2015,624182,528.24,10182,Cristie Data Limited
Computer Administration,CE99,Consultation costs,Supplies & Services,14/08/2015,624182,"1,363.53",10182,Cristie Data Limited
Computer Administration,CE99,Consultation costs,Supplies & Services,14/08/2015,624182,922.35,10182,Cristie Data Limited
Replacement Equipment,AC89,Consultation costs,Supplies & Services,14/08/2015,624038,565,10189,David Horn Communications Ltd
Replacement Equipment,AC89,Consultation costs,Supplies & Services,2015-09-09,624039,"6,960.00",10189,David Horn Communications Ltd
Development Management,DN01,Professional,Supplies & Services,15/07/2015,623411,"4,000.00",10270,Glanville Consultants Limited
Central Planning,PA01,Professional,Supplies & Services,18/09/2015,623645,"2,800.00",10270,Glanville Consultants Limited
Replacement Equipment,AC89,Consultation costs,Supplies & Services,29/07/2015,623978,817.4,10275,GPP Hygiene
EH - Env Protection,EH06,Miscellaneous-Projects,Supplies & Services,29/07/2015,624001,"2,804.40",10276,Gradko International Ltd
District & Parish elections,EL02,Staff training,Employees,2015-01-07,1004498,"2,400.00",10299,Halarose Limited
Car Parks Holding Account,X805,Car Parks Cash Holding Account,Appropriations and other non Cipfa Sub Group Accounts,2015-11-09,3036579,"20,705.35",10316,Henley On Thames Town Council
Car Parks Holding Account,X805,Car Parks Cash Holding Account,Appropriations and other non Cipfa Sub Group Accounts,28/07/2015,3035959,"14,899.20",10316,Henley On Thames Town Council
Car Parks Holding Account,X805,Car Parks Cash Holding Account,Appropriations and other non Cipfa Sub Group Accounts,20/08/2015,3036357,"16,280.05",10316,Henley On Thames Town Council
Development Management,DN01,Professional,Supplies & Services,2015-10-08,624008,725,10317,Heritage Tree Services
EH - Food Safety,EH02,Burial costs,Supplies & Services,19/08/2015,624103,730,10334,Howard Chadwick Funeral Service
Car Park Operations,CP99,Cash banking and debt collection services,Supplies & Services,19/08/2015,624205,"1,618.14",10388,Jade Security Services Ltd
Car Park Operations,CP99,Cash banking and debt collection services,Supplies & Services,16/07/2015,623836,"1,851.63",10388,Jade Security Services Ltd
Car Park Operations,CP99,Cash banking and debt collection services,Supplies & Services,15/09/2015,624350,"1,911.36",10388,Jade Security Services Ltd
General Toilets,WC99,Cleansing Contract Payments,Premises,26/08/2015,1004784,"11,855.12",10391,JCDecaux UK Ltd
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,27/08/2015,3036394,"4,750.00",10427,Liftability Ltd
Facilities Management,FM01,Materials & consumables,Supplies & Services,29/09/2015,624172,866.48,10442,Lyreco U K Ltd
Replacement Equipment,AC89,Consultation costs,Supplies & Services,2015-05-08,624091,"1,805.98",10442,Lyreco U K Ltd
Replacement Equipment,AC89,Consultation costs,Supplies & Services,2015-07-08,1004680,"1,546.64",10442,Lyreco U K Ltd
Replacement Equipment,AC89,Consultation costs,Supplies & Services,17/07/2015,623904,554.36,10442,Lyreco U K Ltd
Replacement Equipment,AC89,Consultation costs,Supplies & Services,18/08/2015,624177,952.42,10442,Lyreco U K Ltd
Replacement Equipment,AC89,Consultation costs,Supplies & Services,15/07/2015,623818,623.77,10442,Lyreco U K Ltd
Development Management,DN01,Professional,Supplies & Services,2015-04-08,624023,"2,359.30",10445,Machin Bate Ltd
Car Park Operations,CP99,Repairs and maintenance to land and buildings,Premises,2015-12-08,624045,650,10466,Monson Engineering Ltd
Central Planning,PA01,Consultation costs,Supplies & Services,13/07/2015,1004537,"3,000.00",10466,Monson Engineering Ltd
Central Planning,PA01,Consultation costs,Supplies & Services,13/07/2015,1004540,"3,000.00",10466,Monson Engineering Ltd
Commercial Sites,MP11,Fees and hired services,Supplies & Services,2015-01-07,1004494,"1,275.00",10466,Monson Engineering Ltd
Commercial Sites,MP11,Fees and hired services,Supplies & Services,2015-04-09,624318,"3,450.00",10466,Monson Engineering Ltd
Central Planning,PA01,Consultation costs,Supplies & Services,28/08/2015,624161,"2,333.33",10466,Monson Engineering Ltd
Central Planning,PA01,Consultation costs,Supplies & Services,28/08/2015,624161,666.67,10466,Monson Engineering Ltd
Commercial Sites,MP11,Strategic Property Advice,Supplies & Services,17/08/2015,623481,650,10466,Monson Engineering Ltd
Central Planning,PA01,Consultation costs,Supplies & Services,17/09/2015,624451,"3,000.00",10466,Monson Engineering Ltd
Emergency Planning,EP01,Engineering Support -Monson,Third Party Payments,29/09/2015,624528,592,10466,Monson Engineering Ltd
Land Drainage,LD01,Engineering Support -Monson,Third Party Payments,18/09/2015,624452,"3,500.00",10466,Monson Engineering Ltd
Flood Alleviation Schemes,A143,Engineering Support -Monson,Third Party Payments,20/08/2015,623735,950,10466,Monson Engineering Ltd
Housing Act Works (was HAW Nuffield),HA01,Engineering Support -Monson,Third Party Payments,25/09/2015,624501,"1,035.00",10466,Monson Engineering Ltd
Housing Act Works (was HAW Nuffield),HA01,Engineering Support -Monson,Third Party Payments,25/08/2015,623919,950,10466,Monson Engineering Ltd
Land Drainage,LD01,Engineering Support -Monson,Third Party Payments,13/08/2015,1004704,"2,416.67",10466,Monson Engineering Ltd
Housing Act Works (was HAW Nuffield),HA01,Engineering Support -Monson,Third Party Payments,13/08/2015,1004704,"1,083.33",10466,Monson Engineering Ltd
Land Drainage,LD01,Engineering Support -Monson,Third Party Payments,13/07/2015,1004538,"3,500.00",10466,Monson Engineering Ltd
Didcot Broadway Seating,A234,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,20/07/2015,623866,"2,120.00",10466,Monson Engineering Ltd
Street Naming and Numbering,SN01,Purchase of street furniture,Supplies & Services,15/07/2015,623879,"1,328.60",10483,Nibra Signs Ltd
Countryside,FR01,Consultants-Projects,Supplies & Services,2015-03-07,623760,"6,559.50",10491,Earth Trust
MFDS,CE11,Leasing of equipment,Supplies & Services,22/07/2015,623769,641.21,10494,Ricoh UK Ltd
MFDS,CE11,Leasing of equipment,Supplies & Services,22/07/2015,623906,"1,157.43",10494,Ricoh UK Ltd
MFDS,CE11,Computer paper,Supplies & Services,16/09/2015,3036576,"13,733.52",10494,Ricoh UK Ltd
MFDS,CE11,Leasing of equipment,Supplies & Services,22/09/2015,624469,"1,759.97",10494,Ricoh UK Ltd
Land Charges,LC01,Fees and hired services,Supplies & Services,2015-12-08,624097,"2,210.00",10502,Ocella
Housing Act Works (was HAW Nuffield),HA01,Engineering Services,Supplies & Services,21/08/2015,1004754,"2,290.00",10506,OPC Drain Services
OCELLA/ORACLE,CE30,Software support and maintenance,Supplies & Services,26/08/2015,624226,"7,859.00",10510,Oracle Corporation UK Ltd
Procurement,CB02,Payments to other local authorities,Third Party Payments,18/09/2015,3035513,"-13,262.37",10519,Oxford City Council
Pension Costs - Compens,PY02,Pensions - Compens,Employees,29/07/2015,3036030,"21,171.66",10523,Oxfordshire CC Pension Fund
Pension Costs - Compens,PY02,Superannuation - ER,Employees,29/07/2015,3036030,"60,416.67",10523,Oxfordshire CC Pension Fund
Pension Costs - Compens,PY02,Pensions - Compens,Employees,28/08/2015,3036475,"21,171.66",10523,Oxfordshire CC Pension Fund
Pension Costs - Compens,PY02,Superannuation - ER,Employees,28/08/2015,3036475,"60,416.67",10523,Oxfordshire CC Pension Fund
Pension Costs - Compens,PY02,Pensions - Compens,Employees,22/09/2015,3036689,"21,171.66",10523,Oxfordshire CC Pension Fund
Pension Costs - Compens,PY02,Superannuation - ER,Employees,22/09/2015,3036689,"60,416.67",10523,Oxfordshire CC Pension Fund
Pension Costs - Compens,PY02,Superannuation - ER,Employees,2015-08-07,3035887,"60,416.67",10523,Oxfordshire CC Pension Fund
Pension Costs - Compens,PY02,Pensions - Compens,Employees,2015-08-07,3035887,"21,171.66",10523,Oxfordshire CC Pension Fund
Parliamentary Election,J101,Fees for services,Appropriations and other non Cipfa Sub Group Accounts,31/07/2015,3036041,"3,526.55",10523,Oxfordshire CC Pension Fund
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,25/09/2015,3036716,735,10535,REDACTED - SENSITIVE INFORMATION
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,25/09/2015,3036717,"1,470.00",10535,REDACTED - SENSITIVE INFORMATION
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,2015-04-09,3036471,"1,470.00",10535,REDACTED - SENSITIVE INFORMATION
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,2015-04-09,3036468,"1,470.00",10535,REDACTED - SENSITIVE INFORMATION
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,2015-04-09,3036469,"1,470.00",10535,REDACTED - SENSITIVE INFORMATION
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,2015-04-09,3036470,"1,470.00",10535,REDACTED - SENSITIVE INFORMATION
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,2015-08-07,3035893,"1,470.00",10535,REDACTED - SENSITIVE INFORMATION
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,2015-08-07,3035892,"1,470.00",10535,REDACTED - SENSITIVE INFORMATION
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,2015-08-07,3035894,"1,470.00",10535,REDACTED - SENSITIVE INFORMATION
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,2015-08-07,3035895,"1,470.00",10535,REDACTED - SENSITIVE INFORMATION
Policy Team,PP01,Software purchase & licence,Supplies & Services,2015-04-08,623773,"1,327.92",10541,Phoenix Software Ltd
IT Infrastructure,A251,Licences,Supplies & Services,24/09/2015,1004910,"2,230.00",10541,Phoenix Software Ltd
IT Infrastructure,A251,Purchase of IT hardware,Appropriations and other non Cipfa Sub Group Accounts,24/09/2015,1004910,"2,122.00",10541,Phoenix Software Ltd
Facilities Management,FM01,Maintenance contracts,Supplies & Services,15/09/2015,3036090,889.95,10542,PHS Group Plc
Development Management,DN01,Professional,Supplies & Services,2015-10-08,1004693,795,10580,READING AGRICULTURAL CONSULTANTS
Communications & Publicity,TM01,Communications - Postages,Supplies & Services,2015-12-08,3036135,"4,708.26",10608,Royal Mail Group plc
Facilities Admin,FA01,Communications - Postages,Supplies & Services,15/09/2015,3036554,"3,579.00",10608,Royal Mail Group plc
Facilities Admin,FA01,Communications - Postages,Supplies & Services,2015-04-09,624301,"1,792.00",10608,Royal Mail Group plc
Elections,EL01,Communications - Postages,Supplies & Services,17/07/2015,3035889,"1,559.86",10608,Royal Mail Group plc
Communications & Publicity,TM01,Communications - Postages,Supplies & Services,2015-07-07,3035710,"3,311.80",10608,Royal Mail Group plc
Telecommunications,CE70,Computer Maintenance of hardware,Supplies & Services,2015-11-08,624137,"14,189.54",10620,Scalable Communications Plc
Telecommunications,CE70,Computer Maintenance of hardware,Supplies & Services,2015-11-08,624138,"1,517.00",10620,Scalable Communications Plc
IT Infrastructure,A251,Computer Purchase of hardware,Supplies & Services,15/07/2015,623790,"60,059.40",10620,Scalable Communications Plc
Business Continuity,AC88,Consultation costs,Supplies & Services,15/09/2015,624342,"10,250.00",10620,Scalable Communications Plc
IT Infrastructure,A251,Computer Purchase of hardware,Supplies & Services,15/09/2015,624343,"3,150.00",10620,Scalable Communications Plc
Telecommunications,CE70,Computer Maintenance of hardware,Supplies & Services,21/09/2015,3036660,"3,192.00",10620,Scalable Communications Plc
IT Infrastructure,A251,Computer Purchase of hardware,Supplies & Services,2015-09-09,624341,"17,050.00",10620,Scalable Communications Plc
Telecommunications,CE70,Computer Maintenance of hardware,Supplies & Services,2015-09-09,624339,"9,858.00",10620,Scalable Communications Plc
IT Infrastructure,A251,Purchase of IT hardware,Appropriations and other non Cipfa Sub Group Accounts,2015-01-09,624275,"6,816.00",10620,Scalable Communications Plc
Corporate Services Project,CS01,Legal services,Supplies & Services,30/09/2015,1004927,"6,075.00",10629,Sharpe Pritchard
Corporate Services Project,CS01,Legal services,Supplies & Services,21/08/2015,624184,"11,271.60",10629,Sharpe Pritchard
Legal,LS01,Legal services,Supplies & Services,28/07/2015,1004617,720,10629,Sharpe Pritchard
Legal,LS01,Legal services,Supplies & Services,21/08/2015,1004755,"1,600.00",10629,Sharpe Pritchard
Corporate Services Project,CS01,Legal services,Supplies & Services,2015-12-08,623979,"10,655.05",10629,Sharpe Pritchard
District & Parish elections,EL02,Stationery,Supplies & Services,22/07/2015,1004578,945,10631,Shaw and Sons Limited
EH - Env Protection,EH06,Miscellaneous-Projects,Supplies & Services,2015-08-07,1004530,"3,395.00",10641,Signal Group Ltd
EH - Env Protection,EH06,Miscellaneous-Projects,Supplies & Services,28/07/2015,623834,"3,545.00",10641,Signal Group Ltd
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2015-06-08,3036027,"3,209.60",10651,SOHA Housing Ltd
SOHA contributions - DFGs,X178,Other Grants (Income),Appropriations and other non Cipfa Sub Group Accounts,2015-06-08,3036027,-600,10651,SOHA Housing Ltd
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,29/07/2015,3036018,"29,280.00",10651,SOHA Housing Ltd
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,29/07/2015,3036018,600,10651,SOHA Housing Ltd
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,29/07/2015,3036021,"4,839.60",10651,SOHA Housing Ltd
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,29/07/2015,3036021,600,10651,SOHA Housing Ltd
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,29/07/2015,3036022,"12,108.60",10651,SOHA Housing Ltd
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,29/07/2015,3036022,600,10651,SOHA Housing Ltd
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,29/07/2015,3036026,"3,149.60",10651,SOHA Housing Ltd
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,29/07/2015,3036025,"3,174.60",10651,SOHA Housing Ltd
SOHA contributions - DFGs,X178,Other Grants (Income),Appropriations and other non Cipfa Sub Group Accounts,29/07/2015,3036018,-600,10651,SOHA Housing Ltd
SOHA contributions - DFGs,X178,Other Grants (Income),Appropriations and other non Cipfa Sub Group Accounts,29/07/2015,3036021,-600,10651,SOHA Housing Ltd
